,Date,High,Low,Open,Close,Volume,Adj Close,Company
1,2020-11-20,43.97999954223633,43.31999969482422,43.439998626708984,43.849998474121094,4462100.0,43.849998474121094,AFL
2,2020-11-20,28.190000534057617,27.920000076293945,28.06999969482422,28.030000686645508,24936.0,28.030000686645508,AIG
3,2020-11-20,38.86000061035156,38.0,38.650001525878906,38.61000061035156,5571900.0,38.61000061035156,AIG-PA
4,2020-11-20,28.040000915527344,27.8700008392334,28.040000915527344,27.950000762939453,17033.0,27.950000762939453,ALL-PG
5,2020-11-20,27.649999618530273,27.440000534057617,27.649999618530273,27.549999237060547,56620.0,27.549999237060547,ALL-PH
6,2020-11-20,203.57000732421875,197.86000061035156,202.89999389648438,198.6699981689453,1796600.0,198.6699981689453,AON
7,2020-11-20,114.54000091552734,111.9000015258789,113.73999786376953,112.58000183105469,3702300.0,112.58000183105469,AXP
8,2020-11-20,27.690000534057617,27.559999465942383,27.649999618530273,27.670000076293945,51573.0,27.670000076293945,BAC
9,2020-11-20,25.6200008392334,25.600000381469727,25.6200008392334,25.610000610351562,33876.0,25.610000610351562,BAC-PB
10,2020-11-20,24.979999542236328,24.8799991607666,24.940000534057617,24.950000762939453,23800.0,24.950000762939453,BAC-PC
11,2020-11-20,27.790000915527344,27.653900146484375,27.670000076293945,27.709999084472656,52703.0,27.709999084472656,BAC-PE
12,2020-11-20,1503.9000244140625,1495.010009765625,1497.510009765625,1496.52001953125,3700.0,1496.52001953125,BAC-PK
13,2020-11-20,26.950000762939453,26.6299991607666,26.739999771118164,26.809999465942383,40513900.0,26.809999465942383,BAC-PL
14,2020-11-20,40.75,39.95000076293945,40.66999816894531,40.2599983215332,1914300.0,40.2599983215332,BAM
15,2020-11-20,7.360000133514404,7.25,7.320000171661377,7.300000190734863,2585200.0,7.300000190734863,BCS
16,2020-11-20,25.350000381469727,25.31999969482422,25.329999923706055,25.329999923706055,35696.0,25.329999923706055,BK
17,2020-11-20,38.099998474121094,37.52000045776367,37.72999954223633,37.880001068115234,6106300.0,37.880001068115234,BK-PC
18,2020-11-20,675.75,669.0,674.02001953125,672.7100219726562,396200.0,672.7100219726562,BLK
19,2020-11-20,22.094999313354492,21.979999542236328,22.0,22.094999313354492,3896.0,22.094999313354492,BML-PG
20,2020-11-20,21.950000762939453,21.450000762939453,21.6299991607666,21.780000686645508,160787.0,21.780000686645508,BML-PH
21,2020-11-20,24.940000534057617,24.799999237060547,24.899999618530273,24.81999969482422,33747.0,24.81999969482422,BML-PL
22,2020-11-20,71.62999725341797,70.08999633789062,70.55999755859375,71.33999633789062,631700.0,71.33999633789062,BMO
23,2020-11-20,48.599998474121094,48.06999969482422,48.279998779296875,48.5099983215332,804900.0,48.5099983215332,BNS
24,2020-11-20,344849,340728,343800,341339,200,341339,BRK-A
25,2020-11-20,229.72000122070312,226.77000427246094,228.77999877929688,227.00999450683594,4027300.0,227.00999450683594,BRK-B
26,2020-11-20,59.150001525878906,58.18000030517578,58.470001220703125,58.650001525878906,1534100.0,58.650001525878906,BX
27,2020-11-20,28.84000015258789,28.65999984741211,28.760000228881836,28.709999084472656,37324.0,28.709999084472656,C
28,2020-11-20,25.739999771118164,25.6200008392334,25.690000534057617,25.729999542236328,54116.0,25.729999542236328,C-PJ
29,2020-11-20,52.11000061035156,51.189998626708984,51.83000183105469,51.650001525878906,15471100.0,51.650001525878906,C-PS
30,2020-11-20,149.38999938964844,145.8800048828125,147.38999938964844,148.8800048828125,2042200.0,148.8800048828125,CB
31,2020-11-20,84.01000213623047,83.12999725341797,83.87999725341797,83.98999786376953,225700.0,83.98999786376953,CM
32,2020-11-20,168.33999633789062,164.97999572753906,166.4499969482422,167.47000122070312,1282800.0,167.47000122070312,CME
33,2020-11-20,25.0,24.979999542236328,24.989999771118164,24.989999771118164,42164.0,24.989999771118164,COF
34,2020-11-20,26.190000534057617,26.026599884033203,26.1200008392334,26.06999969482422,15988.0,26.06999969482422,COF-PF
35,2020-11-20,26.540000915527344,26.420000076293945,26.530000686645508,26.4950008392334,10220.0,26.4950008392334,COF-PG
36,2020-11-20,85.06999969482422,83.02999877929688,84.43000030517578,83.58000183105469,3454300.0,83.58000183105469,COF-PH
37,2020-11-20,23.760000228881836,23.450000762939453,23.760000228881836,23.639999389648438,24568.0,23.639999389648438,GS
38,2020-11-20,24.350000381469727,24.059999465942383,24.290000915527344,24.139999389648438,169900.0,24.139999389648438,GS-PA
39,2020-11-20,27.1299991607666,27.0,27.100000381469727,27.110000610351562,44957.0,27.110000610351562,GS-PD
40,2020-11-20,28.6200008392334,28.415000915527344,28.520000457763672,28.510000228881836,56500.0,28.510000228881836,GS-PJ
41,2020-11-20,26.549999237060547,26.420000076293945,26.549999237060547,26.489999771118164,35973.0,26.489999771118164,GS-PK
42,2020-11-20,224.80999755859375,222.6300048828125,223.0,223.35000610351562,1848100.0,223.35000610351562,GS-PN
43,2020-11-20,67.37999725341797,66.19000244140625,67.20999908447266,66.5,1381900.0,66.5,HDB
44,2020-11-20,25.43000030517578,25.200000762939453,25.31999969482422,25.270000457763672,1933100.0,25.270000457763672,HSBC
45,2020-11-20,13.130000114440918,12.899999618530273,13.050000190734863,12.949999809265137,5645500.0,12.949999809265137,IBN
46,2020-11-20,101.79000091552734,100.88999938964844,100.88999938964844,101.05999755859375,3639400.0,101.05999755859375,ICE
47,2020-11-20,9.1899995803833,9.0600004196167,9.140000343322754,9.140000343322754,2441300.0,9.140000343322754,ING
