Company,Parent,Volume,Date
BAC,Origin,10533100,8/31/2006
BAC,Origin,9775300,9/1/2006
BAC,Origin,8992800,9/5/2006
BAC,Origin,10342800,9/6/2006
BAC,Origin,9487400,9/7/2006
BAC,Origin,10082700,9/8/2006
BAC,Origin,13728000,9/11/2006
BAC,Origin,13893100,9/12/2006
BAC,Origin,8985200,9/13/2006
BAC,Origin,8290500,9/14/2006
BAC,Origin,15843600,9/15/2006
BAC,Origin,11259500,9/18/2006
BAC,Origin,14284600,9/19/2006
BAC,Origin,13629000,9/20/2006
BAC,Origin,9765700,9/21/2006
BAC,Origin,11521500,9/22/2006
BAC,Origin,13046100,9/25/2006
BAC,Origin,14145600,9/26/2006
BAC,Origin,11387100,9/27/2006
BAC,Origin,12219800,9/28/2006
BAC,Origin,10701400,9/29/2006
BAC,Origin,7378600,10/2/2006
BAC,Origin,13591200,10/3/2006
BAC,Origin,12570700,10/4/2006
BAC,Origin,8653700,10/5/2006
BAC,Origin,8968900,10/6/2006
BAC,Origin,5886000,10/9/2006
BAC,Origin,10630800,10/10/2006
BAC,Origin,12485000,10/11/2006
BAC,Origin,9426000,10/12/2006
BAC,Origin,7951400,10/13/2006
BAC,Origin,8634300,10/16/2006
BAC,Origin,10068900,10/17/2006
BAC,Origin,12417500,10/18/2006
BAC,Origin,16086300,10/19/2006
BAC,Origin,16555700,10/20/2006
BAC,Origin,14966300,10/23/2006
BAC,Origin,14260800,10/24/2006
BAC,Origin,11578600,10/25/2006
BAC,Origin,9950800,10/26/2006
BAC,Origin,9197700,10/27/2006
BAC,Origin,7471300,10/30/2006
BAC,Origin,11782300,10/31/2006
BAC,Origin,12654100,11/1/2006
BAC,Origin,8920300,11/2/2006
BAC,Origin,7531600,11/3/2006
BAC,Origin,11139700,11/6/2006
BAC,Origin,8579500,11/7/2006
BAC,Origin,9559600,11/8/2006
BAC,Origin,9004900,11/9/2006
BAC,Origin,9612200,11/10/2006
BAC,Origin,8669900,11/13/2006
BAC,Origin,13716200,11/14/2006
BAC,Origin,12612500,11/15/2006
BAC,Origin,10064100,11/16/2006
BAC,Origin,13267400,11/17/2006
BAC,Origin,8949900,11/20/2006
BAC,Origin,9191500,11/21/2006
BAC,Origin,11706600,11/22/2006
BAC,Origin,4835400,11/24/2006
BAC,Origin,14859600,11/27/2006
BAC,Origin,11998100,11/28/2006
BAC,Origin,9322900,11/29/2006
BAC,Origin,11314900,11/30/2006
BAC,Origin,14482400,12/1/2006
BAC,Origin,28801800,12/4/2006
BAC,Origin,16918300,12/5/2006
BAC,Origin,13045300,12/6/2006
BAC,Origin,12408800,12/7/2006
BAC,Origin,32237800,12/8/2006
BAC,Origin,18229300,12/11/2006
BAC,Origin,14986000,12/12/2006
BAC,Origin,13299700,12/13/2006
BAC,Origin,13389700,12/14/2006
BAC,Origin,22369800,12/15/2006
BAC,Origin,12915300,12/18/2006
BAC,Origin,10902300,12/19/2006
BAC,Origin,8999000,12/20/2006
BAC,Origin,10445800,12/21/2006
BAC,Origin,8402700,12/22/2006
BAC,Origin,10028200,12/26/2006
BAC,Origin,8905300,12/27/2006
BAC,Origin,7024400,12/28/2006
BAC,Origin,7612900,12/29/2006
BAC,Origin,16028200,1/3/2007
BAC,Origin,13175000,1/4/2007
BAC,Origin,10205000,1/5/2007
BAC,Origin,9685900,1/8/2007
BAC,Origin,12546500,1/9/2007
BAC,Origin,10083900,1/10/2007
BAC,Origin,14645200,1/11/2007
BAC,Origin,13012400,1/12/2007
