Company,Parent,Volume,Date
Origin,,,
BAC,Origin,40513900.0,11/20/2020
BMO,Origin,631700.0,11/20/2020
BNS,Origin,804900.0,11/20/2020
C,Origin,15471100.0,11/20/2020
GS,Origin,1848100.0,11/20/2020
JPM,Origin,12718900.0,11/20/2020
MS,Origin,7739900.0,11/20/2020
TD,Origin,1298700.0,11/20/2020
WFC,Origin,38425200.0,11/20/2020
